Name, SubZoneID
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
Alexander Terrane, 16111
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16111
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
metamorphic rocks b/w Stikinia and Wrangellia Colpron et al 2007, 16124
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Eurasia, 301
Africa, 701
Africa, 701
Africa, 701
Africa, 701
Africa, 701
Gurvansayhan, Zoolen, Edren, 430
Hinggan-Nuhetdavaa, 455
Gobi Altai and Mandalovoo GAM, 430
Eurasia, 430
Tuva Mongolia, 401
Barguzin Siberia, 401
Barguzin Siberia, 401
Barguzin Siberia, 401
Barguzin Siberia, 401
Peri-Siberia, 43400
Peri-Siberia, 401
Peri-Siberia, 401
Peri-Siberia, 401
West Sayan, 401
Kobdin Siberia, 401
Altai Sayan Siberian Terranes, 401
Altai Sayan Siberian Terranes, 401
Altai Sayan Siberian Terranes, 401
Altai Sayan Siberian Terranes, 401
Tarim, 580
Kunlun, 457
North China, 457
Qaidam-Qilian, 457
North China, 601
Nazca, 911
Sino/Burma/Malaya, 603
Mawgyi Terrane Nappe, 607
Mawgyi Terrane Nappe, 607
West Burma Block, 7250
Yukon-Tanana Terrane, 16104
Angayucham Terrane, 18103
Sukhothai Metcalfe, 60301
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Sino/Burma/Malaya, 60302
Indochina, 60406
Ruby/Coldfoot Terrane, 18102
Chukotka Peninsula west of Bering Strait, 43300
Chukotka Peninsula west of Bering Strait, 43300
Chukotka Peninsula west of Bering Strait, 43300
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Avalonia Avalon/Acadia, 108
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Tornquist Block, 330
Apulia, 3307
Palawan Block, 677
Nazca, 911
Nazca, 911
Nazca, 911
Pacific, 982
Pacific, 982
Africa, 709
Africa, 709
Kootenay Terrane NAM affinity Colpron et al 2007, 16107
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Solomon Sea, 836
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 301
Greenland, 301
Eurasia, 301
Eurasia, 301
Salado Microplate, 290
Salado Microplate, 290
Salado Microplate, 290
Pampean Terrane, 2901
Cenral Verkhoyansk, 43101
Eurasia, 43400
Western Verkhoyansk, 43102
Northern Siberian Shelf Province, 42200
Northern Siberian Shelf Province, 42200
Northern Siberian Shelf Province, 42200
Northern Siberian Shelf Province, 42200
Northern Siberian Shelf Province, 42200
Northern Siberian Shelf Province, 42200
De Long/Henrietta Block, 42100
Eurasia, 301
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
Greenland, 102
